Day,Sold Units,Restocked Units,Available Units
0,0,2000,2000
1,86,0,1914
2,176,0,1738
3,56,0,1682
4,163,0,1519
5,72,0,1447
6,130,0,1317
7,0,683,2000
8,141,0,1859
9,186,0,1673
10,41,0,1632
11,10,0,1622
12,158,0,1464
13,80,0,1384
14,0,616,2000
15,7,0,1993
16,61,0,1932
17,161,0,1771
18,124,0,1647
19,1,0,1646
20,95,0,1551
21,0,449,2000
22,44,0,1956
23,171,0,1785
24,71,0,1714
25,164,0,1550
26,138,0,1412
27,62,0,1350
28,0,650,2000
29,198,0,1802
30,200,0,1602
31,184,0,1418
32,159,0,1259
33,33,0,1226
34,101,0,1125
35,0,875,2000
36,25,0,1975
37,143,0,1832
38,61,0,1771
39,181,0,1590
40,169,0,1421
41,8,0,1413
42,0,587,2000
43,94,0,1906
44,137,0,1769
45,129,0,1640
46,41,0,1599
47,82,0,1517
48,63,0,1454
49,0,546,2000
